externalPersonKey	personnelNumber	fullNameRu	fullNameKz	positionRu	positionKz	departmentRu	departmentKz	workplaceRu	workplaceKz
DEMO-P011	000011	Демонстрационный Слушатель 011	Демонстрациялық Тыңдаушы 011	Тестовый специалист	Сынақ маманы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P012	000012	Демонстрационный Слушатель 012	Демонстрациялық Тыңдаушы 012	Тестовый механик	Сынақ механигі	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P013	000013	Демонстрационный Слушатель 013	Демонстрациялық Тыңдаушы 013	Тестовый оператор	Сынақ операторы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P014	000014	Демонстрационный Слушатель 014	Демонстрациялық Тыңдаушы 014	Тестовый мастер	Сынақ шебері	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P015	000015	Демонстрационный Слушатель 015	Демонстрациялық Тыңдаушы 015	Тестовый специалист	Сынақ маманы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P016	000016	Демонстрационный Слушатель 016	Демонстрациялық Тыңдаушы 016	Тестовый механик	Сынақ механигі	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P017	000017	Демонстрационный Слушатель 017	Демонстрациялық Тыңдаушы 017	Тестовый оператор	Сынақ операторы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P018	000018	Демонстрационный Слушатель 018	Демонстрациялық Тыңдаушы 018	Тестовый мастер	Сынақ шебері	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P019	000019	Демонстрационный Слушатель 019	Демонстрациялық Тыңдаушы 019	Тестовый специалист	Сынақ маманы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P020	000020	Демонстрационный Слушатель 020	Демонстрациялық Тыңдаушы 020	Тестовый механик	Сынақ механигі	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P021	000021	Демонстрационный Слушатель 021	Демонстрациялық Тыңдаушы 021	Тестовый оператор	Сынақ операторы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P022	000022	Демонстрационный Слушатель 022	Демонстрациялық Тыңдаушы 022	Тестовый мастер	Сынақ шебері	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P023	000023	Демонстрационный Слушатель 023	Демонстрациялық Тыңдаушы 023	Тестовый специалист	Сынақ маманы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P024	000024	Демонстрационный Слушатель 024	Демонстрациялық Тыңдаушы 024	Тестовый механик	Сынақ механигі	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P025	000025	Демонстрационный Слушатель 025	Демонстрациялық Тыңдаушы 025	Тестовый оператор	Сынақ операторы	Демонстрационный участок 1	Демонстрациялық учаске 1	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P026	000026	Демонстрационный Слушатель 026	Демонстрациялық Тыңдаушы 026	Тестовый мастер	Сынақ шебері	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P027	000027	Демонстрационный Слушатель 027	Демонстрациялық Тыңдаушы 027	Тестовый специалист	Сынақ маманы	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P028	000028	Демонстрационный Слушатель 028	Демонстрациялық Тыңдаушы 028	Тестовый механик	Сынақ механигі	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P029	000029	Демонстрационный Слушатель 029	Демонстрациялық Тыңдаушы 029	Тестовый оператор	Сынақ операторы	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P030	000030	Демонстрационный Слушатель 030	Демонстрациялық Тыңдаушы 030	Тестовый мастер	Сынақ шебері	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P031	000031	Демонстрационный Слушатель 031	Демонстрациялық Тыңдаушы 031	Тестовый специалист	Сынақ маманы	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P032	000032	Демонстрационный Слушатель 032	Демонстрациялық Тыңдаушы 032	Тестовый механик	Сынақ механигі	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P033	000033	Демонстрационный Слушатель 033	Демонстрациялық Тыңдаушы 033	Тестовый оператор	Сынақ операторы	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P034	000034	Демонстрационный Слушатель 034	Демонстрациялық Тыңдаушы 034	Тестовый мастер	Сынақ шебері	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P035	000035	Демонстрационный Слушатель 035	Демонстрациялық Тыңдаушы 035	Тестовый специалист	Сынақ маманы	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P036	000036	Демонстрационный Слушатель 036	Демонстрациялық Тыңдаушы 036	Тестовый механик	Сынақ механигі	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P037	000037	Демонстрационный Слушатель 037	Демонстрациялық Тыңдаушы 037	Тестовый оператор	Сынақ операторы	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P038	000038	Демонстрационный Слушатель 038	Демонстрациялық Тыңдаушы 038	Тестовый мастер	Сынақ шебері	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P039	000039	Демонстрационный Слушатель 039	Демонстрациялық Тыңдаушы 039	Тестовый специалист	Сынақ маманы	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P040	000040	Демонстрационный Слушатель 040	Демонстрациялық Тыңдаушы 040	Тестовый механик	Сынақ механигі	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P041	000041	Демонстрационный Слушатель 041	Демонстрациялық Тыңдаушы 041	Тестовый оператор	Сынақ операторы	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P042	000042	Демонстрационный Слушатель 042	Демонстрациялық Тыңдаушы 042	Тестовый мастер	Сынақ шебері	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P043	000043	Демонстрационный Слушатель 043	Демонстрациялық Тыңдаушы 043	Тестовый специалист	Сынақ маманы	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P044	000044	Демонстрационный Слушатель 044	Демонстрациялық Тыңдаушы 044	Тестовый механик	Сынақ механигі	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P045	000045	Демонстрационный Слушатель 045	Демонстрациялық Тыңдаушы 045	Тестовый оператор	Сынақ операторы	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P046	000046	Демонстрационный Слушатель 046	Демонстрациялық Тыңдаушы 046	Тестовый мастер	Сынақ шебері	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P047	000047	Тестовый-Слушатель-С-Длинной-Фамилией СорокСедьмой Демонстрационный	Демонстрациялық Тыңдаушы 047	Тестовая длинная должность ответственного специалиста учебно-производственного участка	Сынақ маманы	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P048	000048	Демонстрационный Слушатель 048	Демонстрациялық Тыңдаушы 048	Тестовый механик	Сынақ механигі	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P049	000049	Демонстрационный Слушатель 049	Демонстрациялық Тыңдаушы 049	Тестовый оператор	Сынақ операторы	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P050	000050	Демонстрационный Слушатель 050	Демонстрациялық Тыңдаушы 050	Тестовый мастер	Сынақ шебері	Демонстрационный участок 2	Демонстрациялық учаске 2	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P051	000051	Демонстрационный Слушатель 051	Демонстрациялық Тыңдаушы 051	Тестовый специалист	Сынақ маманы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P052	000052	Демонстрационный Слушатель 052	Демонстрациялық Тыңдаушы 052	Тестовый механик	Сынақ механигі	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P053	000053	Демонстрационный Слушатель 053	Демонстрациялық Тыңдаушы 053	Тестовый оператор	Сынақ операторы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P054	000054	Демонстрационный Слушатель 054	Демонстрациялық Тыңдаушы 054	Тестовый мастер	Сынақ шебері	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P055	000055	Демонстрационный Слушатель 055	Демонстрациялық Тыңдаушы 055	Тестовый специалист	Сынақ маманы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P056	000056	Демонстрационный Слушатель 056	Демонстрациялық Тыңдаушы 056	Тестовый механик	Сынақ механигі	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P057	000057	Демонстрационный Слушатель 057	Демонстрациялық Тыңдаушы 057	Тестовый оператор	Сынақ операторы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P058	000058	Демонстрационный Слушатель 058	Демонстрациялық Тыңдаушы 058	Тестовый мастер	Сынақ шебері	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P059	000059	Демонстрационный Слушатель 059	Демонстрациялық Тыңдаушы 059	Тестовый специалист	Сынақ маманы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P060	000060	Демонстрационный Слушатель 060	Демонстрациялық Тыңдаушы 060	Тестовый механик	Сынақ механигі	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P061	000061	Демонстрационный Слушатель 061	Демонстрациялық Тыңдаушы 061	Тестовый оператор	Сынақ операторы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P062	000062	Демонстрационный Слушатель 062	Демонстрациялық Тыңдаушы 062	Тестовый мастер	Сынақ шебері	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P063	000063	Тестовый О’Слушатель 063	Демонстрациялық Тыңдаушы 063	Тестовый специалист	Сынақ маманы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P064	000064	Демонстрационный Слушатель 064	Демонстрациялық Тыңдаушы 064	Тестовый механик	Сынақ механигі	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P065	000065	Демонстрационный Слушатель 065	Демонстрациялық Тыңдаушы 065	Тестовый оператор	Сынақ операторы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P066	000066	Демонстрационный Слушатель 066	Демонстрациялық Тыңдаушы 066	Тестовый мастер	Сынақ шебері	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P067	000067	Демонстрационный Слушатель 067	Демонстрациялық Тыңдаушы 067	Тестовый специалист	Сынақ маманы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P068	000068	Демонстрационный Слушатель 068	Демонстрациялық Тыңдаушы 068	Тестовый механик	Сынақ механигі	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P069	000069	Демонстрационный Слушатель 069	Демонстрациялық Тыңдаушы 069	Тестовый оператор	Сынақ операторы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P070	000070	Демонстрационный Слушатель 070	Демонстрациялық Тыңдаушы 070	Тестовый мастер	Сынақ шебері	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P071	000071	Демонстрационный Слушатель 071	Демонстрациялық Тыңдаушы 071	Тестовый специалист	Сынақ маманы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P072	000072	Демонстрационный Слушатель 072	Демонстрациялық Тыңдаушы 072	Тестовый механик	Сынақ механигі	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P073	000073	Демонстрационный Слушатель 073	Демонстрациялық Тыңдаушы 073	Тестовый оператор	Сынақ операторы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P074	000074	Демонстрационный Слушатель 074	Демонстрациялық Тыңдаушы 074	Тестовый мастер	Сынақ шебері	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P075	000075	Демонстрационный Слушатель 075	Демонстрациялық Тыңдаушы 075	Тестовый специалист	Сынақ маманы	Демонстрационный участок 3	Демонстрациялық учаске 3	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P076	000076	Демонстрационный Слушатель 076	Демонстрациялық Тыңдаушы 076	Тестовый механик	Сынақ механигі	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P077	000077	Демонстрационный Слушатель 077	Демонстрациялық Тыңдаушы 077	Тестовый оператор	Сынақ операторы	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P078	000078	Демонстрационный Слушатель 078	Демонстрациялық Тыңдаушы 078	Тестовый мастер	Сынақ шебері	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P079	000079	Демонстрационный Слушатель 079	Демонстрациялық Тыңдаушы 079	Тестовый специалист	Сынақ маманы	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P080	000080	Демонстрационный Слушатель 080	Демонстрациялық Тыңдаушы 080	Тестовый механик	Сынақ механигі	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P081	000081	Демонстрационный Слушатель 081	Демонстрациялық Тыңдаушы 081	Тестовый оператор	Сынақ операторы	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P082	000082	Демонстрационный Слушатель 082	Демонстрациялық Тыңдаушы 082	Тестовый мастер	Сынақ шебері	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P083	000083	Демонстрационный Слушатель 083	Демонстрациялық Тыңдаушы 083	Тестовый специалист	Сынақ маманы	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P084	000084	Демонстрационный Слушатель 084	Демонстрациялық Тыңдаушы 084	Тестовый механик	Сынақ механигі	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P085	000085	Демонстрационный Слушатель 085	Демонстрациялық Тыңдаушы 085	Тестовый оператор	Сынақ операторы	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P086	000086	Демонстрационный Слушатель 086	Демонстрациялық Тыңдаушы 086	Тестовый мастер	Сынақ шебері	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P087	000087	Демонстрационный Слушатель 087	Демонстрациялық Тыңдаушы 087	Тестовый специалист	Сынақ маманы	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P088	000088	Демонстрационный Слушатель 088	Демонстрациялық Тыңдаушы 088	Тестовый механик	Сынақ механигі	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P089	000089	Демонстрационный Слушатель 089	Демонстрациялық Тыңдаушы 089	Тестовый оператор	Сынақ операторы	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P090	000090	Демонстрационный Слушатель 090	Демонстрациялық Тыңдаушы 090	Тестовый мастер	Сынақ шебері	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P091	000091	Демонстрационный Слушатель 091	Демонстрациялық Тыңдаушы 091	Тестовый специалист	Сынақ маманы	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P092	000092	Демонстрационный Слушатель 092	Демонстрациялық Тыңдаушы 092	Тестовый механик	Сынақ механигі	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P093	000093	Демонстрационный Слушатель 093	Демонстрациялық Тыңдаушы 093	Тестовый оператор	Сынақ операторы	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P094	000094	Демонстрационный Слушатель 094	Демонстрациялық Тыңдаушы 094	Тестовый мастер	Сынақ шебері	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P095	000095	Демонстрационный Слушатель 095	Демонстрациялық Тыңдаушы 095	Тестовый специалист	Сынақ маманы	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P096	000096	Демонстрационный Слушатель 096	Демонстрациялық Тыңдаушы 096	Тестовый механик	Сынақ механигі	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
DEMO-P097	000097	Демонстрационный Слушатель 097	Демонстрациялық Тыңдаушы 097	Тестовый оператор	Сынақ операторы	Демонстрационный участок 4	Демонстрациялық учаске 4	ДЕМО — Тестовая организация «Учебный заказ»	ДЕМО — «Оқу тапсырысы» сынақ ұйымы
